"date","close","volume","open","high","low"
"16:00","336.63","7,849,589","343.56","347.66","332.65"
"2019/06/03","336.6300","7849589.0000","343.5600","347.6600","332.6500"
"2019/05/31","343.2800","5023449.0000","347.2200","349.3400","342.9200"
"2019/05/30","351.8500","4008042.0000","350.5500","354.2100","348.3000"
"2019/05/29","349.1900","5658913.0000","353.6000","353.8480","345.9000"
"2019/05/28","354.7800","4717144.0000","354.3900","361.2000","353.6400"
"2019/05/24","354.3900","3830963.0000","355.4100","359.4400","353.7910"
"2019/05/23","352.2100","5630443.0000","355.5000","357.4200","347.7000"
"2019/05/22","359.7300","6229389.0000","358.0100","370.4600","357.3000"
"2019/05/21","354.2700","4026369.0000","350.9500","356.4250","349.9300"
"2019/05/20","348.1100","4621515.0000","351.2300","352.4180","345.4000"
"2019/05/17","354.4500","4725448.0000","356.3900","359.6200","353.7850"
"2019/05/16","359.3100","6441463.0000","356.3700","364.0000","353.9350"
"2019/05/15","354.9900","6340118.0000","343.3400","356.5000","341.3900"
"2019/05/14","345.6100","5353029.0000","348.7100","349.9500","342.5000"
"2019/05/13","345.2600","8026697.0000","352.2900","354.2600","343.1000"
"2019/05/10","361.0400","5657123.0000","361.6200","365.2580","353.0600"
"2019/05/09","362.7500","5882572.0000","360.9000","364.2000","352.7500"
"2019/05/08","364.3700","6571957.0000","367.9200","369.0000","361.3600"
"2019/05/07","370.4600","6974924.0000","377.0000","379.9100","365.8100"
"2019/05/06","378.6700","5793144.0000","377.6900","381.3500","376.0000"
"2019/05/03","385.0300","5130301.0000","381.5300","385.0300","378.2720"
"2019/05/02","379.0600","5398167.0000","378.0000","383.5000","374.5100"
"2019/05/01","378.8100","9257284.0000","374.0000","385.9900","373.1750"
"2019/04/30","370.5400","3863973.0000","369.5600","374.5000","368.3480"
"2019/04/29","371.8300","3764911.0000","373.6800","374.5753","369.1150"
"2019/04/26","374.8500","5615814.0000","368.3500","375.1400","366.2400"
"2019/04/25","368.3300","6242518.0000","374.4900","374.7600","365.7000"
"2019/04/24","374.2300","6519978.0000","381.0700","381.9000","373.2698"
"2019/04/23","381.8900","9992022.0000","375.4500","384.8000","374.7069"
"2019/04/22","377.3400","11959940.0000","359.7000","377.6900","359.0000"
"2019/04/18","360.3500","8346470.0000","355.0000","360.4100","351.6400"
"2019/04/17","354.7400","18009350.0000","365.0500","368.7640","350.6000"
"2019/04/16","359.4600","18416450.0000","355.0000","364.4787","352.7200"
"2019/04/15","348.8700","8819081.0000","350.7100","352.2100","342.2700"
"2019/04/12","351.1400","15605580.0000","360.6900","361.7500","349.3600"
"2019/04/11","367.6500","6416155.0000","365.0000","370.1200","360.8100"
"2019/04/10","363.9200","4537963.0000","365.7900","368.8481","362.2500"
"2019/04/09","364.7100","5431467.0000","360.5400","366.7400","359.0000"
"2019/04/08","361.4100","4648877.0000","365.1100","365.9400","359.9300"
"2019/04/05","365.4900","3898888.0000","369.0000","369.8000","364.6600"
"2019/04/04","367.8800","4621965.0000","370.0700","372.0500","362.4000"
"2019/04/03","369.7500","5366498.0000","369.2600","373.4105","366.1900"
"2019/04/02","367.7200","5114466.0000","366.2500","368.4200","362.2200"
"2019/04/01","366.9600","6974045.0000","359.0000","368.3300","358.5100"
"2019/03/29","356.5600","4700683.0000","357.1600","358.2500","353.7100"
"2019/03/28","354.6100","4349820.0000","354.4850","355.9400","349.2000"
"2019/03/27","353.3700","7826426.0000","361.0000","362.4700","350.3700"
"2019/03/26","359.9700","7648249.0000","367.8700","368.3800","358.0200"
"2019/03/25","366.2300","8464512.0000","359.0000","367.0399","357.4400"
"2019/03/22","361.0100","8627185.0000","375.9500","376.4300","360.0400"
"2019/03/21","377.8700","8522990.0000","374.0000","379.0000","370.6100"
"2019/03/20","375.2200","10784680.0000","358.9100","375.9000","357.0100"
"2019/03/19","358.7800","7234757.0000","366.4000","366.9600","356.8000"
"2019/03/18","363.4400","7187742.0000","362.4700","370.9705","361.8600"
"2019/03/15","361.4600","8438090.0000","361.0200","364.0000","358.8900"
"2019/03/14","358.8200","5263947.0000","360.5000","363.8400","358.1008"
"2019/03/13","361.2100","6399141.0000","355.8100","362.4800","352.7650"
"2019/03/12","356.2700","5161706.0000","359.3700","360.1300","353.8000"
"2019/03/11","358.8600","5342609.0000","352.0000","358.9800","350.0300"
"2019/03/08","349.6000","6891251.0000","345.7500","349.9200","342.4700"
"2019/03/07","352.6000","6144401.0000","360.1600","362.8600","350.5000"
"2019/03/06","359.6100","6194189.0000","353.6000","359.8800","351.7000"
"2019/03/05","354.3000","5919936.0000","351.4600","356.1700","348.2500"
"2019/03/04","351.0400","7478914.0000","359.7200","362.2500","348.0436"
"2019/03/01","357.3200","5466102.0000","362.2600","362.8700","354.6915"
"2019/02/28","358.1000","6157285.0000","362.4700","366.3900","357.7090"
"2019/02/27","362.8700","5621615.0000","363.5000","368.0300","359.8000"
"2019/02/26","364.9700","4924616.0000","362.9800","365.7000","359.3300"
"2019/02/25","363.9100","7537507.0000","367.0100","371.4900","363.7900"
"2019/02/22","363.0200","7077753.0000","360.3400","366.1300","360.0500"
"2019/02/21","356.9700","6217185.0000","360.0300","362.8500","353.8800"
"2019/02/20","359.9100","8101412.0000","364.8500","366.7100","356.7000"
"2019/02/19","361.9200","7379683.0000","355.8000","365.0000","355.3200"
"2019/02/15","356.8700","9218066.0000","358.4700","364.4000","355.5000"
"2019/02/14","359.0700","9280393.0000","351.7500","360.4500","348.3300"
"2019/02/13","351.7700","10529710.0000","357.3000","359.6000","350.2800"
"2019/02/12","359.9700","10388190.0000","348.0900","360.0000","346.5200"
"2019/02/11","345.7300","5438119.0000","350.0000","352.8700","344.8100"
"2019/02/08","347.5700","7550268.0000","338.0000","348.0000","338.0000"
"2019/02/07","344.7100","7850353.0000","347.9000","348.7500","339.0200"
"2019/02/06","352.1900","6707279.0000","357.0000","357.0400","347.1900"
"2019/02/05","355.8100","9030720.0000","353.2000","360.0000","352.9000"
"2019/02/04","351.3400","9024097.0000","342.6000","352.0000","341.3000"
"2019/02/01","339.8500","9822615.0000","337.1800","346.8400","336.5000"
"2019/01/31","339.5000","8493725.0000","339.6800","345.9900","338.0919"
"2019/01/30","340.6600","9081266.0000","332.7500","341.7800","330.8000"
"2019/01/29","328.9000","7619808.0000","335.8700","338.2200","328.1510"
"2019/01/28","335.6600","8639403.0000","334.7000","336.3000","328.8800"
"2019/01/25","338.0500","11147040.0000","328.7200","340.0000","328.5100"
"2019/01/24","326.6700","11115040.0000","320.6000","331.8000","319.0000"
"2019/01/23","321.9900","13456260.0000","328.2500","331.7500","318.6000"
"2019/01/22","325.1600","17909440.0000","334.8900","336.8800","321.0300"
